"","red","green","blue","alpha"
"darkorange4",0.545098039215686,0.270588235294118,0,1
"darkorchid",0.6,0.196078431372549,0.8,1
"darkorchid1",0.749019607843137,0.243137254901961,1,1
"darkorchid2",0.698039215686274,0.227450980392157,0.933333333333333,1
"darkorchid3",0.603921568627451,0.196078431372549,0.803921568627451,1
"darkorchid4",0.407843137254902,0.133333333333333,0.545098039215686,1
"darkred",0.545098039215686,0,0,1
"darksalmon",0.913725490196078,0.588235294117647,0.47843137254902,1
"darkseagreen",0.56078431372549,0.737254901960784,0.56078431372549,1
"darkseagreen1",0.756862745098039,1,0.756862745098039,1
"darkseagreen2",0.705882352941177,0.933333333333333,0.705882352941177,1
"darkseagreen3",0.607843137254902,0.803921568627451,0.607843137254902,1
"darkseagreen4",0.411764705882353,0.545098039215686,0.411764705882353,1
"darkslateblue",0.282352941176471,0.23921568627451,0.545098039215686,1
"darkslategray",0.184313725490196,0.309803921568627,0.309803921568627,1
"darkslategray1",0.592156862745098,1,1,1
"darkslategray2",0.552941176470588,0.933333333333333,0.933333333333333,1
"darkslategray3",0.474509803921569,0.803921568627451,0.803921568627451,1
"darkslategray4",0.32156862745098,0.545098039215686,0.545098039215686,1
"darkslategrey",0.184313725490196,0.309803921568627,0.309803921568627,1
"darkturquoise",0,0.807843137254902,0.819607843137255,1
"darkviolet",0.580392156862745,0,0.827450980392157,1
"deeppink",1,0.0784313725490196,0.576470588235294,1
"deeppink1",1,0.0784313725490196,0.576470588235294,1
"deeppink2",0.933333333333333,0.0705882352941176,0.537254901960784,1
"deeppink3",0.803921568627451,0.0627450980392157,0.462745098039216,1
"deeppink4",0.545098039215686,0.0392156862745098,0.313725490196078,1
"deepskyblue",0,0.749019607843137,1,1
"deepskyblue1",0,0.749019607843137,1,1
"deepskyblue2",0,0.698039215686274,0.933333333333333,1
"deepskyblue3",0,0.603921568627451,0.803921568627451,1
"deepskyblue4",0,0.407843137254902,0.545098039215686,1
"dimgray",0.411764705882353,0.411764705882353,0.411764705882353,1
"dimgrey",0.411764705882353,0.411764705882353,0.411764705882353,1
"dodgerblue",0.117647058823529,0.564705882352941,1,1
"dodgerblue1",0.117647058823529,0.564705882352941,1,1
"dodgerblue2",0.109803921568627,0.525490196078431,0.933333333333333,1
"dodgerblue3",0.0941176470588235,0.454901960784314,0.803921568627451,1
"dodgerblue4",0.0627450980392157,0.305882352941176,0.545098039215686,1
"firebrick",0.698039215686274,0.133333333333333,0.133333333333333,1
"firebrick1",1,0.188235294117647,0.188235294117647,1
"firebrick2",0.933333333333333,0.172549019607843,0.172549019607843,1
"firebrick3",0.803921568627451,0.149019607843137,0.149019607843137,1
"firebrick4",0.545098039215686,0.101960784313725,0.101960784313725,1
"floralwhite",1,0.980392156862745,0.941176470588235,1
"forestgreen",0.133333333333333,0.545098039215686,0.133333333333333,1
"gainsboro",0.862745098039216,0.862745098039216,0.862745098039216,1
"ghostwhite",0.972549019607843,0.972549019607843,1,1
"gold",1,0.843137254901961,0,1
"gold1",1,0.843137254901961,0,1
"gold2",0.933333333333333,0.788235294117647,0,1
"gold3",0.803921568627451,0.67843137254902,0,1
"gold4",0.545098039215686,0.458823529411765,0,1
"goldenrod",0.854901960784314,0.647058823529412,0.125490196078431,1
"goldenrod1",1,0.756862745098039,0.145098039215686,1
"goldenrod2",0.933333333333333,0.705882352941177,0.133333333333333,1
"goldenrod3",0.803921568627451,0.607843137254902,0.113725490196078,1
"goldenrod4",0.545098039215686,0.411764705882353,0.0784313725490196,1
"gray",0.745098039215686,0.745098039215686,0.745098039215686,1
"gray0",0,0,0,1
"gray1",0.0117647058823529,0.0117647058823529,0.0117647058823529,1
"gray2",0.0196078431372549,0.0196078431372549,0.0196078431372549,1
"gray3",0.0313725490196078,0.0313725490196078,0.0313725490196078,1
"gray4",0.0392156862745098,0.0392156862745098,0.0392156862745098,1
"gray5",0.0509803921568627,0.0509803921568627,0.0509803921568627,1
"gray6",0.0588235294117647,0.0588235294117647,0.0588235294117647,1
"gray7",0.0705882352941176,0.0705882352941176,0.0705882352941176,1
"gray8",0.0784313725490196,0.0784313725490196,0.0784313725490196,1
"gray9",0.0901960784313725,0.0901960784313725,0.0901960784313725,1
"gray10",0.101960784313725,0.101960784313725,0.101960784313725,1
"gray11",0.109803921568627,0.109803921568627,0.109803921568627,1
"gray12",0.12156862745098,0.12156862745098,0.12156862745098,1
"gray13",0.129411764705882,0.129411764705882,0.129411764705882,1
"gray14",0.141176470588235,0.141176470588235,0.141176470588235,1
"gray15",0.149019607843137,0.149019607843137,0.149019607843137,1
"gray16",0.16078431372549,0.16078431372549,0.16078431372549,1
"gray17",0.168627450980392,0.168627450980392,0.168627450980392,1
"gray18",0.180392156862745,0.180392156862745,0.180392156862745,1
"gray19",0.188235294117647,0.188235294117647,0.188235294117647,1
"gray20",0.2,0.2,0.2,1
"gray21",0.211764705882353,0.211764705882353,0.211764705882353,1
"gray22",0.219607843137255,0.219607843137255,0.219607843137255,1
"gray23",0.231372549019608,0.231372549019608,0.231372549019608,1
"gray24",0.23921568627451,0.23921568627451,0.23921568627451,1
"gray25",0.250980392156863,0.250980392156863,0.250980392156863,1
"gray26",0.258823529411765,0.258823529411765,0.258823529411765,1
"gray27",0.270588235294118,0.270588235294118,0.270588235294118,1
"gray28",0.27843137254902,0.27843137254902,0.27843137254902,1
"gray29",0.290196078431373,0.290196078431373,0.290196078431373,1
"gray30",0.301960784313725,0.301960784313725,0.301960784313725,1
"gray31",0.309803921568627,0.309803921568627,0.309803921568627,1
"gray32",0.32156862745098,0.32156862745098,0.32156862745098,1
"gray33",0.329411764705882,0.329411764705882,0.329411764705882,1
"gray34",0.341176470588235,0.341176470588235,0.341176470588235,1
"gray35",0.349019607843137,0.349019607843137,0.349019607843137,1
"gray36",0.36078431372549,0.36078431372549,0.36078431372549,1
"gray37",0.368627450980392,0.368627450980392,0.368627450980392,1
"gray38",0.380392156862745,0.380392156862745,0.380392156862745,1
"gray39",0.388235294117647,0.388235294117647,0.388235294117647,1
"gray40",0.4,0.4,0.4,1
"gray41",0.411764705882353,0.411764705882353,0.411764705882353,1
"gray42",0.419607843137255,0.419607843137255,0.419607843137255,1
"gray43",0.431372549019608,0.431372549019608,0.431372549019608,1
"gray44",0.43921568627451,0.43921568627451,0.43921568627451,1
"gray45",0.450980392156863,0.450980392156863,0.450980392156863,1
"gray46",0.458823529411765,0.458823529411765,0.458823529411765,1
"gray47",0.470588235294118,0.470588235294118,0.470588235294118,1
"gray48",0.47843137254902,0.47843137254902,0.47843137254902,1
"gray49",0.490196078431373,0.490196078431373,0.490196078431373,1
"gray50",0.498039215686275,0.498039215686275,0.498039215686275,1
"gray51",0.509803921568627,0.509803921568627,0.509803921568627,1
"gray52",0.52156862745098,0.52156862745098,0.52156862745098,1
"gray53",0.529411764705882,0.529411764705882,0.529411764705882,1
"gray54",0.541176470588235,0.541176470588235,0.541176470588235,1
"gray55",0.549019607843137,0.549019607843137,0.549019607843137,1
"gray56",0.56078431372549,0.56078431372549,0.56078431372549,1
"gray57",0.568627450980392,0.568627450980392,0.568627450980392,1
"gray58",0.580392156862745,0.580392156862745,0.580392156862745,1
"gray59",0.588235294117647,0.588235294117647,0.588235294117647,1
"gray60",0.6,0.6,0.6,1
"gray61",0.611764705882353,0.611764705882353,0.611764705882353,1
"gray62",0.619607843137255,0.619607843137255,0.619607843137255,1
"gray63",0.631372549019608,0.631372549019608,0.631372549019608,1
"gray64",0.63921568627451,0.63921568627451,0.63921568627451,1
"gray65",0.650980392156863,0.650980392156863,0.650980392156863,1
"gray66",0.658823529411765,0.658823529411765,0.658823529411765,1
"gray67",0.670588235294118,0.670588235294118,0.670588235294118,1
"gray68",0.67843137254902,0.67843137254902,0.67843137254902,1
"gray69",0.690196078431373,0.690196078431373,0.690196078431373,1
"gray70",0.701960784313725,0.701960784313725,0.701960784313725,1
"gray71",0.709803921568627,0.709803921568627,0.709803921568627,1
"gray72",0.72156862745098,0.72156862745098,0.72156862745098,1
"gray73",0.729411764705882,0.729411764705882,0.729411764705882,1
"gray74",0.741176470588235,0.741176470588235,0.741176470588235,1
"gray75",0.749019607843137,0.749019607843137,0.749019607843137,1
"gray76",0.76078431372549,0.76078431372549,0.76078431372549,1
"gray77",0.768627450980392,0.768627450980392,0.768627450980392,1
"gray78",0.780392156862745,0.780392156862745,0.780392156862745,1
"gray79",0.788235294117647,0.788235294117647,0.788235294117647,1
"gray80",0.8,0.8,0.8,1
"gray81",0.811764705882353,0.811764705882353,0.811764705882353,1
"gray82",0.819607843137255,0.819607843137255,0.819607843137255,1
"gray83",0.831372549019608,0.831372549019608,0.831372549019608,1
"gray84",0.83921568627451,0.83921568627451,0.83921568627451,1
"gray85",0.850980392156863,0.850980392156863,0.850980392156863,1
"gray86",0.858823529411765,0.858823529411765,0.858823529411765,1
"gray87",0.870588235294118,0.870588235294118,0.870588235294118,1
"gray88",0.87843137254902,0.87843137254902,0.87843137254902,1
"gray89",0.890196078431372,0.890196078431372,0.890196078431372,1
"gray90",0.898039215686275,0.898039215686275,0.898039215686275,1
"gray91",0.909803921568627,0.909803921568627,0.909803921568627,1
"gray92",0.92156862745098,0.92156862745098,0.92156862745098,1
"gray93",0.929411764705882,0.929411764705882,0.929411764705882,1
"gray94",0.941176470588235,0.941176470588235,0.941176470588235,1
"gray95",0.949019607843137,0.949019607843137,0.949019607843137,1
"gray96",0.96078431372549,0.96078431372549,0.96078431372549,1
"gray97",0.968627450980392,0.968627450980392,0.968627450980392,1
"gray98",0.980392156862745,0.980392156862745,0.980392156862745,1
"gray99",0.988235294117647,0.988235294117647,0.988235294117647,1
"gray100",1,1,1,1
"green",0,1,0,1
"green1",0,1,0,1
"green2",0,0.933333333333333,0,1
"green3",0,0.803921568627451,0,1
"green4",0,0.545098039215686,0,1
"greenyellow",0.67843137254902,1,0.184313725490196,1
"grey",0.745098039215686,0.745098039215686,0.745098039215686,1
"grey0",0,0,0,1
"grey1",0.0117647058823529,0.0117647058823529,0.0117647058823529,1
"grey2",0.0196078431372549,0.0196078431372549,0.0196078431372549,1
"grey3",0.0313725490196078,0.0313725490196078,0.0313725490196078,1
"grey4",0.0392156862745098,0.0392156862745098,0.0392156862745098,1
"grey5",0.0509803921568627,0.0509803921568627,0.0509803921568627,1
"grey6",0.0588235294117647,0.0588235294117647,0.0588235294117647,1
"grey7",0.0705882352941176,0.0705882352941176,0.0705882352941176,1
"grey8",0.0784313725490196,0.0784313725490196,0.0784313725490196,1
"grey9",0.0901960784313725,0.0901960784313725,0.0901960784313725,1
"grey10",0.101960784313725,0.101960784313725,0.101960784313725,1
"grey11",0.109803921568627,0.109803921568627,0.109803921568627,1
"grey12",0.12156862745098,0.12156862745098,0.12156862745098,1
"grey13",0.129411764705882,0.129411764705882,0.129411764705882,1
"grey14",0.141176470588235,0.141176470588235,0.141176470588235,1
"grey15",0.149019607843137,0.149019607843137,0.149019607843137,1
"grey16",0.16078431372549,0.16078431372549,0.16078431372549,1
"grey17",0.168627450980392,0.168627450980392,0.168627450980392,1
"grey18",0.180392156862745,0.180392156862745,0.180392156862745,1
"grey19",0.188235294117647,0.188235294117647,0.188235294117647,1
"grey20",0.2,0.2,0.2,1
"grey21",0.211764705882353,0.211764705882353,0.211764705882353,1
"grey22",0.219607843137255,0.219607843137255,0.219607843137255,1
"grey23",0.231372549019608,0.231372549019608,0.231372549019608,1
"grey24",0.23921568627451,0.23921568627451,0.23921568627451,1
"grey25",0.250980392156863,0.250980392156863,0.250980392156863,1
"grey26",0.258823529411765,0.258823529411765,0.258823529411765,1
"grey27",0.270588235294118,0.270588235294118,0.270588235294118,1
"grey28",0.27843137254902,0.27843137254902,0.27843137254902,1
"grey29",0.290196078431373,0.290196078431373,0.290196078431373,1
"grey30",0.301960784313725,0.301960784313725,0.301960784313725,1
"grey31",0.309803921568627,0.309803921568627,0.309803921568627,1
"grey32",0.32156862745098,0.32156862745098,0.32156862745098,1
"grey33",0.329411764705882,0.329411764705882,0.329411764705882,1
"grey34",0.341176470588235,0.341176470588235,0.341176470588235,1
"grey35",0.349019607843137,0.349019607843137,0.349019607843137,1
"grey36",0.36078431372549,0.36078431372549,0.36078431372549,1
"grey37",0.368627450980392,0.368627450980392,0.368627450980392,1
"grey38",0.380392156862745,0.380392156862745,0.380392156862745,1
"grey39",0.388235294117647,0.388235294117647,0.388235294117647,1
"grey40",0.4,0.4,0.4,1
"grey41",0.411764705882353,0.411764705882353,0.411764705882353,1
"grey42",0.419607843137255,0.419607843137255,0.419607843137255,1
"grey43",0.431372549019608,0.431372549019608,0.431372549019608,1
"grey44",0.43921568627451,0.43921568627451,0.43921568627451,1
"grey45",0.450980392156863,0.450980392156863,0.450980392156863,1
"grey46",0.458823529411765,0.458823529411765,0.458823529411765,1
"grey47",0.470588235294118,0.470588235294118,0.470588235294118,1
"grey48",0.47843137254902,0.47843137254902,0.47843137254902,1
"grey49",0.490196078431373,0.490196078431373,0.490196078431373,1
"grey50",0.498039215686275,0.498039215686275,0.498039215686275,1
"grey51",0.509803921568627,0.509803921568627,0.509803921568627,1
"grey52",0.52156862745098,0.52156862745098,0.52156862745098,1
"grey53",0.529411764705882,0.529411764705882,0.529411764705882,1
"grey54",0.541176470588235,0.541176470588235,0.541176470588235,1
"grey55",0.549019607843137,0.549019607843137,0.549019607843137,1
"grey56",0.56078431372549,0.56078431372549,0.56078431372549,1
"grey57",0.568627450980392,0.568627450980392,0.568627450980392,1
"grey58",0.580392156862745,0.580392156862745,0.580392156862745,1
"grey59",0.588235294117647,0.588235294117647,0.588235294117647,1
"grey60",0.6,0.6,0.6,1
"grey61",0.611764705882353,0.611764705882353,0.611764705882353,1
"grey62",0.619607843137255,0.619607843137255,0.619607843137255,1
"grey63",0.631372549019608,0.631372549019608,0.631372549019608,1
"grey64",0.63921568627451,0.63921568627451,0.63921568627451,1
"grey65",0.650980392156863,0.650980392156863,0.650980392156863,1
"grey66",0.658823529411765,0.658823529411765,0.658823529411765,1
"grey67",0.670588235294118,0.670588235294118,0.670588235294118,1
"grey68",0.67843137254902,0.67843137254902,0.67843137254902,1
"grey69",0.690196078431373,0.690196078431373,0.690196078431373,1
"grey70",0.701960784313725,0.701960784313725,0.701960784313725,1
"grey71",0.709803921568627,0.709803921568627,0.709803921568627,1
"grey72",0.72156862745098,0.72156862745098,0.72156862745098,1
"grey73",0.729411764705882,0.729411764705882,0.729411764705882,1
"grey74",0.741176470588235,0.741176470588235,0.741176470588235,1
"grey75",0.749019607843137,0.749019607843137,0.749019607843137,1
"grey76",0.76078431372549,0.76078431372549,0.76078431372549,1
"grey77",0.768627450980392,0.768627450980392,0.768627450980392,1
"grey78",0.780392156862745,0.780392156862745,0.780392156862745,1
"grey79",0.788235294117647,0.788235294117647,0.788235294117647,1
"grey80",0.8,0.8,0.8,1
"grey81",0.811764705882353,0.811764705882353,0.811764705882353,1
"grey82",0.819607843137255,0.819607843137255,0.819607843137255,1
"grey83",0.831372549019608,0.831372549019608,0.831372549019608,1
"grey84",0.83921568627451,0.83921568627451,0.83921568627451,1
"grey85",0.850980392156863,0.850980392156863,0.850980392156863,1
"grey86",0.858823529411765,0.858823529411765,0.858823529411765,1
"grey87",0.870588235294118,0.870588235294118,0.870588235294118,1
"grey88",0.87843137254902,0.87843137254902,0.87843137254902,1
"grey89",0.890196078431372,0.890196078431372,0.890196078431372,1
"grey90",0.898039215686275,0.898039215686275,0.898039215686275,1
"grey91",0.909803921568627,0.909803921568627,0.909803921568627,1
"grey92",0.92156862745098,0.92156862745098,0.92156862745098,1
"grey93",0.929411764705882,0.929411764705882,0.929411764705882,1
"grey94",0.941176470588235,0.941176470588235,0.941176470588235,1
"grey95",0.949019607843137,0.949019607843137,0.949019607843137,1
"grey96",0.96078431372549,0.96078431372549,0.96078431372549,1
"grey97",0.968627450980392,0.968627450980392,0.968627450980392,1
"grey98",0.980392156862745,0.980392156862745,0.980392156862745,1
"grey99",0.988235294117647,0.988235294117647,0.988235294117647,1
"grey100",1,1,1,1
"honeydew",0.941176470588235,1,0.941176470588235,1
"honeydew1",0.941176470588235,1,0.941176470588235,1
"honeydew2",0.87843137254902,0.933333333333333,0.87843137254902,1
"honeydew3",0.756862745098039,0.803921568627451,0.756862745098039,1
"honeydew4",0.513725490196078,0.545098039215686,0.513725490196078,1
"hotpink",1,0.411764705882353,0.705882352941177,1
"hotpink1",1,0.431372549019608,0.705882352941177,1
"hotpink2",0.933333333333333,0.415686274509804,0.654901960784314,1
"hotpink3",0.803921568627451,0.376470588235294,0.564705882352941,1
"hotpink4",0.545098039215686,0.227450980392157,0.384313725490196,1
"indianred",0.803921568627451,0.36078431372549,0.36078431372549,1
"indianred1",1,0.415686274509804,0.415686274509804,1
"indianred2",0.933333333333333,0.388235294117647,0.388235294117647,1
"indianred3",0.803921568627451,0.333333333333333,0.333333333333333,1
"indianred4",0.545098039215686,0.227450980392157,0.227450980392157,1
"ivory",1,1,0.941176470588235,1
"ivory1",1,1,0.941176470588235,1
"ivory2",0.933333333333333,0.933333333333333,0.87843137254902,1
"ivory3",0.803921568627451,0.803921568627451,0.756862745098039,1
"ivory4",0.545098039215686,0.545098039215686,0.513725490196078,1
"khaki",0.941176470588235,0.901960784313726,0.549019607843137,1
"khaki1",1,0.964705882352941,0.56078431372549,1
"khaki2",0.933333333333333,0.901960784313726,0.52156862745098,1
"khaki3",0.803921568627451,0.776470588235294,0.450980392156863,1
"khaki4",0.545098039215686,0.525490196078431,0.305882352941176,1
"lavender",0.901960784313726,0.901960784313726,0.980392156862745,1
"lavenderblush",1,0.941176470588235,0.96078431372549,1
"lavenderblush1",1,0.941176470588235,0.96078431372549,1
"lavenderblush2",0.933333333333333,0.87843137254902,0.898039215686275,1
"lavenderblush3",0.803921568627451,0.756862745098039,0.772549019607843,1
"lavenderblush4",0.545098039215686,0.513725490196078,0.525490196078431,1
"lawngreen",0.486274509803922,0.988235294117647,0,1
"lemonchiffon",1,0.980392156862745,0.803921568627451,1
"lemonchiffon1",1,0.980392156862745,0.803921568627451,1
"lemonchiffon2",0.933333333333333,0.913725490196078,0.749019607843137,1
"lemonchiffon3",0.803921568627451,0.788235294117647,0.647058823529412,1
"lemonchiffon4",0.545098039215686,0.537254901960784,0.43921568627451,1
"lightblue",0.67843137254902,0.847058823529412,0.901960784313726,1
"lightblue1",0.749019607843137,0.937254901960784,1,1
"lightblue2",0.698039215686274,0.874509803921569,0.933333333333333,1
"lightblue3",0.603921568627451,0.752941176470588,0.803921568627451,1
"lightblue4",0.407843137254902,0.513725490196078,0.545098039215686,1
"lightcoral",0.941176470588235,0.501960784313725,0.501960784313725,1
"lightcyan",0.87843137254902,1,1,1
"lightcyan1",0.87843137254902,1,1,1
"lightcyan2",0.819607843137255,0.933333333333333,0.933333333333333,1
"lightcyan3",0.705882352941177,0.803921568627451,0.803921568627451,1
"lightcyan4",0.47843137254902,0.545098039215686,0.545098039215686,1
"lightgoldenrod",0.933333333333333,0.866666666666667,0.509803921568627,1
"lightgoldenrod1",1,0.925490196078431,0.545098039215686,1
"lightgoldenrod2",0.933333333333333,0.862745098039216,0.509803921568627,1
"lightgoldenrod3",0.803921568627451,0.745098039215686,0.43921568627451,1
"lightgoldenrod4",0.545098039215686,0.505882352941176,0.298039215686275,1
"lightgoldenrodyellow",0.980392156862745,0.980392156862745,0.823529411764706,1
"lightgray",0.827450980392157,0.827450980392157,0.827450980392157,1
"lightgreen",0.564705882352941,0.933333333333333,0.564705882352941,1
"lightgrey",0.827450980392157,0.827450980392157,0.827450980392157,1
"lightpink",1,0.713725490196078,0.756862745098039,1
"lightpink1",1,0.682352941176471,0.725490196078431,1
"lightpink2",0.933333333333333,0.635294117647059,0.67843137254902,1
"lightpink3",0.803921568627451,0.549019607843137,0.584313725490196,1
"lightpink4",0.545098039215686,0.372549019607843,0.396078431372549,1
"lightsalmon",1,0.627450980392157,0.47843137254902,1
"lightsalmon1",1,0.627450980392157,0.47843137254902,1
"lightsalmon2",0.933333333333333,0.584313725490196,0.447058823529412,1
"lightsalmon3",0.803921568627451,0.505882352941176,0.384313725490196,1
"lightsalmon4",0.545098039215686,0.341176470588235,0.258823529411765,1
"lightseagreen",0.125490196078431,0.698039215686274,0.666666666666667,1
"lightskyblue",0.529411764705882,0.807843137254902,0.980392156862745,1
"lightskyblue1",0.690196078431373,0.886274509803922,1,1
"lightskyblue2",0.643137254901961,0.827450980392157,0.933333333333333,1
"lightskyblue3",0.552941176470588,0.713725490196078,0.803921568627451,1
"lightskyblue4",0.376470588235294,0.482352941176471,0.545098039215686,1
"lightslateblue",0.517647058823529,0.43921568627451,1,1
"lightslategray",0.466666666666667,0.533333333333333,0.6,1
"lightslategrey",0.466666666666667,0.533333333333333,0.6,1
"lightsteelblue",0.690196078431373,0.768627450980392,0.870588235294118,1
"lightsteelblue1",0.792156862745098,0.882352941176471,1,1
"lightsteelblue2",0.737254901960784,0.823529411764706,0.933333333333333,1
"lightsteelblue3",0.635294117647059,0.709803921568627,0.803921568627451,1
"lightsteelblue4",0.431372549019608,0.482352941176471,0.545098039215686,1
"lightyellow",1,1,0.87843137254902,1
"lightyellow1",1,1,0.87843137254902,1
"lightyellow2",0.933333333333333,0.933333333333333,0.819607843137255,1
"lightyellow3",0.803921568627451,0.803921568627451,0.705882352941177,1
"lightyellow4",0.545098039215686,0.545098039215686,0.47843137254902,1
"limegreen",0.196078431372549,0.803921568627451,0.196078431372549,1
"linen",0.980392156862745,0.941176470588235,0.901960784313726,1
"magenta",1,0,1,1
"magenta1",1,0,1,1
"magenta2",0.933333333333333,0,0.933333333333333,1
"magenta3",0.803921568627451,0,0.803921568627451,1
"magenta4",0.545098039215686,0,0.545098039215686,1
"maroon",0.690196078431373,0.188235294117647,0.376470588235294,1
"maroon1",1,0.203921568627451,0.701960784313725,1
"maroon2",0.933333333333333,0.188235294117647,0.654901960784314,1
"maroon3",0.803921568627451,0.16078431372549,0.564705882352941,1
"maroon4",0.545098039215686,0.109803921568627,0.384313725490196,1
"mediumaquamarine",0.4,0.803921568627451,0.666666666666667,1
"mediumblue",0,0,0.803921568627451,1
"mediumorchid",0.729411764705882,0.333333333333333,0.827450980392157,1
"mediumorchid1",0.87843137254902,0.4,1,1
"mediumorchid2",0.819607843137255,0.372549019607843,0.933333333333333,1
"mediumorchid3",0.705882352941177,0.32156862745098,0.803921568627451,1
"mediumorchid4",0.47843137254902,0.215686274509804,0.545098039215686,1
